T (K),a,da/dT
296.65,0,0
301.32,0,0
306.15,0,0
310.98,0,0
315.82,0,0
320.65,0,0
325.48,0,0
330.15,0,0
363.82,0.001717778,3.21E-05
368.65,0.001717778,2.00E-05
373.48,0.001717778,8.72E-06
378.32,0.001717778,0
383.15,0.001717778,0
387.82,0.001717778,0
392.65,0.001717778,0
397.48,0.001717778,0
402.32,0.001717778,0
407.15,0.001717778,0
411.82,0.001717778,0
416.65,0.001717778,0
421.48,0.001717778,0
426.32,0.001717778,0
431.15,0.001717778,0
435.98,0.001717778,0
503.15,0.001717778,-4.40E-06
507.98,0.001717778,6.84E-05
512.82,0.003435556,0.00014046
517.65,0.003435556,0.000223728
522.48,0.005153334,0.00027607
527.15,0.006871111,0.000327738
531.98,0.008587787,0.000333011
536.82,0.010305565,0.000290361
541.65,0.010305565,0.000284554
546.48,0.012023343,0.000358148
551.32,0.013741121,0.00058326
555.98,0.018894454,0.00084423
560.82,0.024046686,0.001080736
565.65,0.030917798,0.001194555
570.48,0.036070029,0.001239379
575.32,0.042941141,0.00124319
580.15,0.048093372,0.001262461
584.82,0.054964484,0.001262515
589.65,0.060116715,0.001306208
594.48,0.066987827,0.001346562
599.32,0.073857836,0.001392738
604.15,0.080728948,0.001426733
608.98,0.087598957,0.001434449
613.65,0.094470069,0.00143587
618.48,0.101340078,0.001434188
623.32,0.10821119,0.001386948
628.15,0.115081199,0.001251646
632.98,0.120234533,0.001027748
637.82,0.123670088,0.000748536
642.48,0.125386764,0.000531041
647.32,0.127104542,0.000420756
652.15,0.12882232,0.000422958
656.98,0.132257876,0.000427599
661.82,0.133975654,0.000416951
666.65,0.135693432,0.000630447
671.32,0.137411209,0.000952029
676.15,0.144281219,0.001291275
680.98,0.152869006,0.0015507
685.82,0.159740118,0.001602641
690.65,0.168327905,0.001634806
695.48,0.175199017,0.001685986
700.15,0.183786804,0.001963015
704.98,0.190656813,0.002212119
709.82,0.199245703,0.002504718
714.65,0.212986824,0.00295833
719.48,0.23703351,0.003391618
724.32,0.261080196,0.003787009
728.98,0.283409104,0.004165113
733.82,0.307455791,0.004899901
738.65,0.329785801,0.004847392
743.48,0.353832487,0.004803185
748.32,0.376161395,0.004822115
753.15,0.400208081,0.004813713
757.82,0.422538092,0.004580572
762.65,0.446584778,0.00429723
767.48,0.463760353,0.004051711
772.32,0.480937029,0.003721455
777.15,0.498113706,0.003564579
781.98,0.515290383,0.003585205
786.65,0.532465957,0.003588659
791.48,0.549642634,0.003585039
796.32,0.566819311,0.003564811
801.15,0.583994885,0.003545459
805.98,0.601171562,0.002977017
810.82,0.618348239,0.00252345
815.48,0.625218248,0.002135114
820.32,0.63208936,0.001508932
825.15,0.638959369,0.001372087
829.98,0.644112703,0.001371463
834.82,0.650982712,0.0013636
839.65,0.657853824,0.00138457
844.32,0.664723833,0.001355753
849.15,0.669877167,0.001304261
853.98,0.676747176,0.001210461
858.82,0.68190051,0.001128202
863.65,0.687052742,0.001037494
868.48,0.690488297,0.001012903
873.15,0.695641631,0.001015243
877.98,0.700793863,0.001051185
882.82,0.705947196,0.001069785
887.65,0.711099428,0.001066119
892.48,0.716252761,0.001069987
897.32,0.721406095,0.001051009
901.98,0.726558327,0.001014745
906.82,0.729993882,0.001012105
911.65,0.735147216,0.001007259
916.48,0.740299447,0.001022763
921.32,0.745452781,0.001007583
926.15,0.748888337,0.001011222
930.82,0.754040568,0.000991285
935.65,0.759193902,0.000986711
940.48,0.762629458,0.000999399
945.32,0.767781689,0.000971284
950.15,0.772935023,0.000967148
954.82,0.776369477,0.000948176
959.65,0.78152281,0.000908477
964.48,0.784958366,0.000945803
969.32,0.790110598,0.000953386
974.15,0.795263931,0.000914637
978.98,0.798699487,0.000875182
983.65,0.802135043,0.000836206
988.48,0.807287274,0.000845067
993.32,0.81072283,0.000887185
998.15,0.815875062,0.000878151
1002.98,0.819310617,0.000884996
1007.82,0.824463951,0.0008426
1012.48,0.827899507,0.000799057
1017.32,0.831333961,0.000748454
1022.15,0.834769516,0.000738489
1026.98,0.838205072,0.00077796
1031.82,0.843357304,0.000782722
1036.65,0.846792859,0.000784347
1041.32,0.850228415,0.000745637
1046.15,0.853663971,0.000717225
1050.98,0.857098425,0.000713284
1055.82,0.86053398,0.000710747
1060.65,0.863969536,0.000713405
1065.48,0.867405092,0.000717241
1070.15,0.870839546,0.000717952
1074.98,0.874275101,0.000717133
1079.82,0.877710657,0.000687814
1084.65,0.881145111,0.000644592
1089.48,0.882862889,0.000645748
1094.32,0.886298444,0.00062859
1098.98,0.889734,0.000629407
1103.82,0.891451778,0.000649558
1108.65,0.894886232,0.000620332
1113.48,0.898321787,0.000608758
1118.32,0.900039565,0.000585711
1123.15,0.903475121,0.000541702
1127.82,0.905192899,0.000543941
1132.65,0.908627353,0.000533453
1137.48,0.91034513,0.000539332
1142.32,0.913780686,0.000529208
1147.15,0.915498464,0.000537904
1151.98,0.91893402,0.000531933
1156.65,0.920650696,0.000539503
1161.48,0.924086251,0.000528989
1166.32,0.925804029,0.000529458
1171.15,0.929239585,0.000481365
1175.98,0.930957363,0.000458887
1180.82,0.932674039,0.000448915
1185.48,0.936109595,0.000423225
1190.32,0.937827372,0.000448193
1195.15,0.93954515,0.000456715
1199.98,0.942980706,0.000477935
1204.82,0.944698484,0.000517912
1209.65,0.948132938,0.000479851
1214.32,0.949850715,0.000432773
1219.15,0.951568493,0.000383937
1223.98,0.953286271,0.000331984
