T (K),a,da/dT
291.32,0,0.00E+00
422.48,0.001824834,0.000205426
437.15,0.003649668,0.000205426
444.48,0.005474502,0.000318719
448.15,0.007299336,0.000402444
451.65,0.009124171,0.000478798
462.65,0.01642339,0.000599313
466.32,0.018248225,0.000661886
469.98,0.020073059,0.000783931
473.65,0.023722727,0.000905298
477.32,0.027372279,0.001143963
480.98,0.032846781,0.001325687
484.48,0.038321167,0.001454141
488.15,0.043795669,0.001511191
491.82,0.049270171,0.001499383
495.48,0.054744557,0.001493034
499.15,0.060219059,0.00149303
502.82,0.065693445,0.001493032
506.48,0.071167947,0.001500392
510.15,0.076642333,0.001510901
513.65,0.082116836,0.001512682
517.32,0.087591338,0.001510585
520.98,0.093065724,0.001500011
524.65,0.098540226,0.00149303
528.32,0.104014612,0.00149303
531.98,0.109489114,0.001493029
535.65,0.1149635,0.001450284
539.32,0.120438002,0.001324276
542.98,0.12408767,0.001199382
546.48,0.127737222,0.001103224
550.15,0.13138689,0.001020608
553.82,0.135036559,0.00100507
557.48,0.140510944,0.000991389
561.15,0.144160612,0.000990801
564.82,0.147810281,0.002033131
568.48,0.153284666,0.002744501
572.15,0.178832111,0.003329927
575.65,0.202554838,0.003776151
579.32,0.228102282,0.004339336
582.98,0.248175224,0.005176004
586.65,0.279197171,0.005852471
590.32,0.304744615,0.00614701
593.98,0.328467226,0.006424804
597.65,0.35401467,0.006712084
601.32,0.379562114,0.006875382
604.98,0.405109559,0.00697461
608.48,0.430657003,0.006979268
612.15,0.454379614,0.00697931
615.82,0.479927058,0.00698073
619.48,0.505474502,0.006970641
623.15,0.531021947,0.006968184
626.82,0.556569391,0.006967088
630.48,0.582116836,0.006966464
634.15,0.598540226,0.006278616
637.82,0.63138689,0.005397294
641.32,0.656934335,0.004470392
644.98,0.675182559,0.003913863
648.65,0.680656945,0.00330415
652.32,0.687956281,0.002190025
655.98,0.693430667,0.001498932
659.65,0.69890517,0.001504473
663.32,0.706204389,0.0014691
666.98,0.711678892,0.001421981
670.48,0.717153277,0.001376716
674.15,0.724452614,0.001271409
677.82,0.728102166,0.001157637
681.48,0.731751834,0.001033219
685.15,0.735401502,0.000995356
688.82,0.73905117,0.000995356
692.48,0.742700722,0.000995356
696.15,0.74635039,0.001000253
699.82,0.750000058,0.001006773
703.32,0.75364961,0.001010766
706.98,0.757299278,0.001010753
710.65,0.759124112,0.001006139
714.32,0.760948946,0.001003644
721.65,0.768248166,0.000997473
725.32,0.771897834,0.000970812
728.98,0.773722669,0.000877781
732.48,0.777372337,0.000793227
736.15,0.779197054,0.000712278
739.82,0.782846723,0.000627395
743.48,0.784671557,0.00061528
750.82,0.790146059,0.000595649
754.48,0.791970777,0.000612957
761.82,0.797445279,0.000624106
765.32,0.799270113,0.000632092
772.65,0.804744499,0.00058335
776.32,0.806569333,0.000566941
779.98,0.808394167,0.000567505
787.32,0.813868669,0.000544224
790.98,0.815693503,0.000551984
794.48,0.817518221,0.000564942
805.48,0.824817557,0.000571076
809.15,0.826642392,0.000550082
812.82,0.828467226,0.000525425
816.48,0.830291943,0.00049996
820.15,0.832116777,0.000475283
863.82,0.85401467,0.000502834
867.48,0.855839388,0.000500574
871.15,0.857664222,0.000497416
874.82,0.859489056,0.000492514
878.48,0.86131389,0.000482928
892.98,0.866788392,0.000438666
896.65,0.86861311,0.000431643
907.65,0.872262778,0.000407884
911.32,0.874087612,0.000398957
922.15,0.87773728,0.000387162
933.15,0.881386832,0.000371856
936.82,0.883211666,0.00037907
944.15,0.8850365,0.000383917
947.82,0.886861334,0.000380963
954.98,0.888686168,0.000375384
958.65,0.890511003,0.000380392
965.98,0.892335837,0.000381941
969.65,0.894160554,0.000377552
980.48,0.897810222,0.000375638
991.48,0.901459891,0.000376674
995.15,0.903284725,0.000383412
1002.48,0.905109559,0.000397744
1006.15,0.906934276,0.000397625
1016.98,0.910583945,0.000437357
1020.65,0.912408779,0.000445775
1024.32,0.914233613,0.000437237
1035.32,0.917883281,0.000428833
1038.98,0.919707999,0.000421418
1049.82,0.923357667,0.000415866
1053.48,0.925182501,0.000417968
1064.48,0.928832169,0.000421178
1068.15,0.930657003,0.000421498
1082.65,0.936131389,0.000454463
1086.32,0.937956223,0.000451405
1089.98,0.939781057,0.000450003
1100.98,0.943430725,0.000463466
1104.48,0.945255443,0.000469166
1108.15,0.947080277,0.000478783
1115.48,0.950729945,0.000498587
1137.32,0.959853999,0.000447478
1140.98,0.961678833,0.000466441
1144.65,0.963503668,0.000483966
1148.32,0.965328502,0.000497682
1151.98,0.967153336,0.000497679
1155.65,0.96897817,0.000497675
1159.32,0.970802887,0.000497672
1162.98,0.972627721,0.000497666
1181.15,0.979927058,0.000470447
1184.82,0.981751892,0.000467725
1188.48,0.98357661,0.000470649
1192.15,0.985401444,0.000469872
1206.65,0.990875946,0.00046252
1210.32,0.99270078,0.000456654
1213.98,0.994525614,0.000444815
1228.48,1,0.000399371
