T (K),a,da/dT
294.48,0,2.84E-07
306.65,1.09937E-05,5.62E-07
315.82,1.86892E-05,7.52E-07
328.15,3.07823E-05,9.58E-07
343.32,4.39747E-05,2.30E-06
358.82,0.000174799,1.99E-06
363.15,0.000178098,1.02E-05
367.48,0.000182495,1.80E-05
371.82,0.001905204,2.43E-05
375.98,0.001908502,2.41E-05
384.65,0.001916197,6.58E-05
388.98,0.003638906,1.08E-04
393.32,0.003643304,1.83E-04
397.65,0.005366013,2.18E-04
401.98,0.005369311,2.88E-04
406.32,0.007092019,3.39E-04
410.65,0.008814728,3.84E-04
414.98,0.010536338,5.01E-04
419.32,0.010540735,5.95E-04
423.65,0.013981755,0.000662095
427.82,0.013985053,0.000746392
432.15,0.017426073,0.000793424
436.48,0.020867094,0.000790776
440.82,0.024308114,0.000781933
445.15,0.026030823,0.000783119
449.48,0.029471843,0.000810572
453.82,0.032912863,0.000909414
458.15,0.038072194,0.00105614
462.48,0.043231526,0.001137877
466.82,0.046672546,0.001176957
471.15,0.051831877,0.001179086
475.48,0.056991209,0.001197067
479.65,0.06215054,0.001204225
483.98,0.067309872,0.00120265
488.32,0.072469203,0.001195171
492.65,0.077628535,0.001190615
496.98,0.082787866,0.001190615
501.32,0.087947197,0.001150537
505.65,0.093106529,0.001046704
509.98,0.096547549,0.000937491
514.32,0.099988569,0.000829134
518.65,0.103429589,0.000818249
522.98,0.108588921,0.000821652
527.15,0.112029941,0.000825064
531.48,0.115469862,0.000822129
535.82,0.118910882,0.000882492
540.15,0.124070213,0.000862571
544.48,0.124074611,0.000863592
548.82,0.127515631,0.000895964
553.15,0.130956651,0.000959707
557.48,0.136115982,0.001205104
561.82,0.144711937,0.001502655
566.15,0.15330899,0.00163238
570.48,0.160186633,0.001936635
574.82,0.168782587,0.002309478
578.98,0.177378541,0.002649291
583.32,0.191130528,0.003180152
587.65,0.215193483,0.003764866
591.98,0.240974749,0.004295408
596.32,0.265037704,0.004728039
600.65,0.28909956,0.005573146
604.98,0.314880826,0.005571824
609.32,0.338943781,0.005580259
613.65,0.363006735,0.005592154
617.98,0.388788001,0.005616297
622.32,0.412850956,0.005648679
626.48,0.436912812,0.0056358
630.82,0.460975767,0.005597362
635.15,0.485038721,0.005399311
639.48,0.503945643,0.005090418
643.82,0.528008598,0.004857611
648.15,0.546915519,0.004622296
652.48,0.56582354,0.004357728
656.82,0.584730461,0.004087761
661.15,0.603637383,0.003792189
665.48,0.622545404,0.003495779
669.82,0.636296292,0.003047304
674.15,0.641455623,0.002512801
678.32,0.648334365,0.001983211
682.65,0.653493697,0.001285942
686.98,0.658653028,0.001218387
691.32,0.665530671,0.001203766
695.65,0.670690002,0.001176957
699.98,0.675849334,0.001075908
704.32,0.679290354,0.000928573
708.65,0.682731374,0.000846725
712.98,0.687890706,0.000807857
717.32,0.691331726,0.000811576
721.65,0.694772746,0.000806526
725.82,0.698212667,0.00080081
730.15,0.701653687,0.00079202
734.48,0.703376396,0.000788787
738.82,0.706817416,0.000783497
743.15,0.710258436,0.000790433
747.48,0.713699456,0.000791096
751.82,0.715422165,0.000802976
756.15,0.718862085,0.000843425
760.48,0.724021417,0.000830782
764.82,0.724025814,0.000807098
769.15,0.727466835,0.000776713
773.48,0.729189543,0.00069748
777.65,0.732630563,0.000643056
781.98,0.734352173,0.000622557
786.32,0.737793193,0.000577071
790.65,0.739515902,0.000558888
794.98,0.742956922,0.000502279
799.32,0.744679631,0.000455013
803.65,0.74640124,0.000426207
807.98,0.74984226,0.000409919
812.32,0.751564969,0.0004151
816.65,0.753287678,0.000418485
820.98,0.756728698,0.000416582
825.15,0.758450307,0.000418391
829.48,0.760173016,0.000442442
838.15,0.765336745,0.000447429
842.48,0.767058355,0.000458157
846.82,0.768781063,0.000466334
855.48,0.773944792,0.000474848
859.82,0.775666402,0.000450996
864.15,0.777389111,0.000414084
868.48,0.779111819,0.000420348
881.32,0.785997158,0.000456543
885.65,0.787719866,0.000450825
889.98,0.789442575,0.0004111
894.32,0.791164185,0.000397475
898.65,0.792886894,0.000397483
902.98,0.794609602,0.000397497
907.32,0.796332311,0.000397483
911.65,0.798053921,0.000397475
915.98,0.799776629,0.000397482
920.32,0.801499338,0.000399106
924.65,0.803222047,0.000401581
928.82,0.804943656,0.000402036
933.15,0.806666365,0.000401523
937.48,0.808389074,0.000399031
941.82,0.810111783,0.000397483
946.15,0.811833392,0.000397475
950.48,0.813556101,0.000397457
954.82,0.81527881,0.000397457
959.15,0.817000419,0.000397475
963.48,0.818723128,0.000397482
967.82,0.820445837,0.000393035
972.15,0.822168546,0.000385377
976.32,0.822171844,0.000386798
980.65,0.823894553,0.00038544
984.98,0.825617261,0.000393299
989.32,0.827338871,0.00038977
993.65,0.82906158,0.000376235
997.98,0.829065977,0.000373669
1002.32,0.830787586,0.000373606
1010.98,0.834233004,0.000379615
1015.32,0.834237401,0.000382909
1019.65,0.835959011,0.000381965
1028.15,0.839404429,0.000379853
1032.48,0.839407727,0.000379804
1036.82,0.841130435,0.000373802
1041.15,0.842853144,0.000371025
1045.48,0.842856442,0.000373083
1049.82,0.844579151,0.000373006
1058.48,0.848024569,0.000372936
1062.82,0.848027867,0.000373016
1067.15,0.849750576,0.000369944
1071.48,0.851473284,0.000371051
1075.65,0.851476583,0.000374244
1079.98,0.853199291,0.000374361
1088.65,0.85664361,0.000372721
1092.98,0.856648007,0.000372774
1097.32,0.858370716,0.000372609
1101.65,0.860092325,0.000377858
1105.98,0.860096723,0.000385116
1110.32,0.861819432,0.000380742
1114.65,0.863541041,0.00038155
1118.98,0.863545438,0.00038825
1123.32,0.865268147,0.000387987
1127.48,0.866989757,0.000390496
