T (K),a,da/dT
330.15,0,0.00E+00
334.98,3.41461E-06,1.21E-06
339.98,6.82923E-06,1.26E-05
364.48,0.001746006,8.38E-05
384.15,0.003480631,2.01E-04
388.98,0.005205011,2.51E-04
393.98,0.006929392,3.07E-04
398.82,0.008652634,3.51E-04
403.82,0.010377014,3.50E-04
408.65,0.012101395,3.50E-04
413.65,0.013825775,3.61E-04
428.32,0.020718744,6.88E-04
433.15,0.025883918,8.09E-04
438.15,0.031049092,9.38E-04
442.98,0.036214266,1.03E-03
447.98,0.04137944,1.05E-03
452.82,0.046544614,1.06E-03
457.82,0.049988822,1.06E-03
462.65,0.055153996,1.06E-03
467.48,0.06031917,0.001060308
472.48,0.065484344,0.001055894
477.32,0.070649518,0.001050553
482.32,0.07581583,0.001097315
487.15,0.080981004,0.001160691
492.15,0.087866006,0.001194554
496.98,0.091311352,0.001192667
501.98,0.098196353,0.00119944
506.82,0.103361527,0.001148434
511.65,0.108526701,0.001021533
516.65,0.110251082,0.000914773
521.48,0.113696428,0.000819311
526.48,0.117140636,0.000721726
531.32,0.120584844,0.000818308
536.32,0.122309225,0.001179346
541.15,0.125754571,0.001397195
546.15,0.129198779,0.00161362
550.98,0.13092316,0.001848665
555.82,0.141250093,0.002040225
560.82,0.158458613,0.00227589
565.65,0.175668272,0.002485118
570.65,0.192876792,0.00267445
575.48,0.204924691,0.002836165
580.48,0.227294971,0.003037114
585.32,0.246224457,0.003466595
590.32,0.263432977,0.003496595
595.15,0.280642635,0.003504906
599.98,0.297851156,0.003512224
604.98,0.315060814,0.003513926
609.82,0.332269334,0.003475337
614.82,0.349478993,0.003441126
619.65,0.364967685,0.003434887
624.65,0.382176206,0.003437324
629.48,0.399384726,0.003417373
634.48,0.416594384,0.003380762
639.32,0.432083077,0.003335001
644.15,0.451012563,0.003013167
649.15,0.468221083,0.002687284
653.98,0.483709776,0.002458967
658.98,0.500918296,0.002218062
663.82,0.507804436,0.001904203
668.82,0.516410403,0.00162871
673.65,0.523296543,0.00153534
678.65,0.530182683,0.00147256
683.48,0.537067685,0.001416482
688.32,0.54567479,0.0014011
693.32,0.552559792,0.001387354
698.15,0.559445932,0.001349739
703.15,0.566332071,0.001274668
707.98,0.571497245,0.001193371
712.98,0.574941454,0.001102811
717.82,0.580106627,0.001031001
722.82,0.583551974,0.000974528
727.65,0.588717148,0.000934312
732.48,0.592161356,0.00089429
737.48,0.59732653,0.000851935
742.32,0.600771876,0.000836494
747.32,0.60593705,0.000789951
752.15,0.609381258,0.000750717
757.15,0.612825466,0.000721875
761.98,0.616270813,0.000724633
766.98,0.621435986,0.000734139
771.82,0.624880195,0.000746326
776.65,0.626604575,0.000742036
781.65,0.631769749,0.000730522
786.48,0.635213957,0.000726125
791.48,0.638659303,0.000715103
796.32,0.642103512,0.000700609
801.32,0.645548858,0.000701113
806.15,0.648993066,0.000701553
811.15,0.652438412,0.000703467
815.98,0.65588262,0.000706022
820.98,0.657607001,0.000707068
825.82,0.661051209,0.000707406
830.65,0.664496555,0.000707283
835.65,0.667940763,0.000706222
840.48,0.671384971,0.000705367
845.48,0.673109352,0.000703907
850.32,0.676554698,0.000704898
855.32,0.679998906,0.000705462
860.15,0.683443114,0.000706432
865.15,0.685167495,0.00070737
869.98,0.688612841,0.000706757
874.82,0.692057049,0.000704506
879.82,0.69378143,0.000698811
884.65,0.697225638,0.000691342
889.65,0.698950018,0.00069415
894.48,0.702394226,0.000684025
899.48,0.705839573,0.00065857
904.32,0.707562815,0.000620156
909.32,0.711008161,0.000577836
914.15,0.712732542,0.000564728
918.98,0.71617675,0.000540311
923.98,0.71790113,0.000538434
928.82,0.721345338,0.000516542
933.82,0.723069719,0.00050772
938.65,0.726513927,0.000475515
943.65,0.728238307,0.00045003
948.48,0.731683654,0.000435867
953.48,0.733406896,0.000433677
963.15,0.738576623,0.000409036
968.15,0.740299865,0.000406626
972.98,0.742024245,0.000410307
982.82,0.747192834,0.000388951
987.82,0.748917214,0.000385373
992.65,0.750641595,0.000380529
1012.32,0.759258944,0.000392658
1017.15,0.760982187,0.000385912
1022.15,0.762706567,0.000366226
1026.98,0.764430948,0.00035067
1031.98,0.766155328,0.000350935
1036.82,0.767879708,0.000350593
1041.82,0.769602951,0.000352115
1046.65,0.771327331,0.000352674
1051.48,0.773051712,0.000289021
1056.48,0.774776092,0.000209217
1061.32,0.774779507,0.00010298
1085.98,0.783400271,0.0003529
1090.82,0.785124651,0.000352916
1095.65,0.786847894,0.000352183
1100.65,0.788572274,0.000351166
1105.48,0.790296654,0.000349824
1110.48,0.792021035,0.000347538
1134.98,0.798920833,0.000331021
1139.82,0.800645214,0.00032971
1144.82,0.802368456,0.000340147
1149.65,0.804092836,0.000334996
1174.32,0.810992635,0.000304784
1179.15,0.812717015,0.000325906
1183.98,0.814441396,0.000336247
1188.98,0.816165776,0.000344938
1193.82,0.817890156,0.000352515
1198.82,0.819613399,0.000359572
1257.65,0.838582722,0.000322395
