T (K),a,da/dT
298.32,0,3.25E-07
307.65,8.73295E-06,5.65E-07
317.15,1.74659E-05,7.87E-07
326.48,2.61988E-05,1.14E-06
338.98,3.7115E-05,1.30E-05
352.65,0.000872203,3.30E-05
356.98,0.000876569,2.93E-05
361.32,0.002598051,1.28E-05
365.65,0.002601326,4.65E-06
369.98,0.002605693,2.81E-05
374.32,0.002610059,1.37E-04
378.65,0.004331541,2.42E-04
383.15,0.006053023,3.16E-04
387.48,0.006057389,3.28E-04
391.82,0.007778871,3.14E-04
396.15,0.007782146,3.38E-04
400.48,0.009503628,3.66E-04
404.82,0.01122511,3.90E-04
409.15,0.014664798,3.96E-04
413.48,0.01638628,0.000407539
417.98,0.018107762,0.000456317
422.32,0.021547451,0.000536854
426.65,0.023268933,0.000641948
430.98,0.02670753,0.000726434
435.32,0.030146127,0.000781363
439.65,0.035302932,0.000795056
443.98,0.03874262,0.00082507
448.32,0.042181218,0.00090633
452.82,0.047338022,0.001039929
457.15,0.052494826,0.001143075
461.48,0.05765163,0.001185895
465.82,0.062807343,0.001189959
470.15,0.067964147,0.001189967
474.48,0.073120952,0.001190007
478.82,0.078277756,0.001190032
483.15,0.08343456,0.001190032
487.65,0.086873157,0.001190032
491.98,0.092029961,0.001190027
496.32,0.097186766,0.001129526
500.65,0.105777801,0.001036887
504.98,0.105782167,0.000947165
509.32,0.109220764,0.000851938
513.65,0.112660453,0.000788987
517.98,0.117817257,0.000783065
522.48,0.121255855,0.000786212
526.82,0.124694452,0.000842031
531.15,0.129851256,0.000816267
535.48,0.129855623,0.000806555
539.82,0.13329422,0.000802373
544.15,0.136733909,0.000787169
548.48,0.140172506,0.001451399
552.98,0.143612195,0.002029744
557.32,0.159073875,0.002507493
561.65,0.17625267,0.002991455
565.98,0.191714349,0.003505972
570.32,0.208893145,0.004026539
574.65,0.224354824,0.004524925
578.98,0.239816504,0.005018803
583.32,0.263865944,0.005514068
587.82,0.291350706,0.005965345
592.15,0.318834377,0.006132312
596.48,0.348036255,0.006153595
600.82,0.372085695,0.00615801
605.15,0.399570457,0.005844122
609.48,0.427054128,0.005524339
613.82,0.447669337,0.005361364
618.15,0.468283454,0.005115517
622.65,0.488897572,0.004829235
626.98,0.504359251,0.004537585
631.32,0.530125807,0.004435207
635.65,0.549022809,0.004336156
639.98,0.567918719,0.004056324
644.32,0.579946168,0.003728966
648.65,0.593689641,0.003395646
