T (K),a,da/dT
297.48,0,0.00E+00
302.32,0,3.63E-05
307.32,0,0.000145074
312.15,0.001719161,0.000250452
400.82,0.001719161,0
405.65,0.001719161,0
410.65,0.001719161,0
415.48,0.001719161,0
420.48,0.001719161,0
425.32,0.001719161,0.000126168
430.32,0.003438322,0.000272147
494.32,0.005157483,-3.98E-05
499.15,0.010313827,8.08E-05
508.98,0.012032988,0.000347414
513.98,0.013752149,0.000521463
518.82,0.018908492,0.00078039
528.65,0.020627653,0.00126595
533.65,0.027504297,0.001423127
538.48,0.034379802,0.001326341
543.48,0.039536145,0.001277069
548.32,0.046412789,0.001300264
553.32,0.053288294,0.001401947
558.15,0.060163798,0.001395171
563.15,0.067040443,0.001388636
568.15,0.073915947,0.001388885
572.98,0.080791451,0.00130242
577.98,0.085948934,0.00126543
582.82,0.092824439,0.001201217
587.82,0.097981922,0.001265656
592.65,0.104857426,0.001299784
597.65,0.111732931,0.001301096
602.48,0.116890414,0.001228278
607.48,0.123765918,0.001040555
612.32,0.127204241,0.000788773
617.32,0.128922262,0.000452461
622.15,0.130641423,0.000348914
627.15,0.132360584,0.000350621
631.98,0.134079745,0.000348896
636.98,0.135798906,0.000350526
641.82,0.137518067,0.00047428
646.82,0.140955249,0.000621072
656.65,0.149549915,0.001267626
661.48,0.15814572,0.001583989
666.48,0.168459547,0.001984717
671.48,0.178772233,0.002072313
676.32,0.18908606,0.002124968
681.32,0.197681865,0.002490015
686.15,0.202838209,0.002826494
691.15,0.218309518,0.003194672
695.98,0.235498849,0.003706065
700.98,0.261282846,0.004376281
705.82,0.287067982,0.004919076
710.82,0.312851978,0.005263953
715.65,0.338635975,0.005231857
720.65,0.364421111,0.005155229
725.48,0.388487086,0.005083114
730.48,0.414271083,0.00515846
735.32,0.440055079,0.005201979
740.32,0.465840215,0.005197038
745.15,0.491624212,0.004450546
750.15,0.507095521,0.003866232
754.98,0.522565691,0.003126013
759.98,0.53631784,0.003088411
764.82,0.55178801,0.003054455
769.82,0.56725932,0.003032502
774.82,0.581010328,0.003002914
779.65,0.596481638,0.003044028
784.65,0.611951808,0.003015694
789.48,0.625703957,0.002631001
794.48,0.641174126,0.002100184
799.32,0.648050771,0.001592703
804.32,0.653207114,0.001200928
809.15,0.658363457,0.001139204
814.15,0.665240102,0.001188529
818.98,0.670396445,0.001144773
823.98,0.675553928,0.001051515
828.82,0.680710271,0.001141494
833.82,0.687586916,0.001188461
838.65,0.692743259,0.001144278
843.65,0.697900742,0.000950874
848.48,0.701337925,0.000906195
853.48,0.706495408,0.00095471
858.32,0.711651751,0.000954436
863.32,0.715090073,0.000923352
868.15,0.720246417,0.000949477
873.15,0.7254039,0.001041233
878.15,0.730560243,0.000939296
882.98,0.733998565,0.000899888
887.98,0.739154909,0.00084852
892.82,0.742593231,0.000894614
897.82,0.747750714,0.000848016
902.65,0.751187896,0.000894561
907.65,0.756345379,0.000848083
912.48,0.759782562,0.000894683
917.48,0.764940045,0.000848051
922.32,0.768377227,0.000894141
927.32,0.77353471,0.00084248
932.15,0.776973032,0.00079479
937.15,0.780410215,0.000800379
941.98,0.785567698,0.000840131
946.98,0.78900488,0.000902578
951.82,0.794162363,0.000840396
956.82,0.797600686,0.000797109
961.65,0.801037868,0.000791297
966.65,0.806195351,0.00083682
971.48,0.809632533,0.000796358
976.48,0.813070855,0.000694277
981.48,0.816509178,0.000694521
986.32,0.81994636,0.000792335
991.32,0.825103843,0.000836708
996.15,0.828541025,0.000795552
1001.15,0.831979347,0.000701084
1005.98,0.83541767,0.000697728
1010.98,0.838854852,0.000701144
1015.82,0.842293174,0.000697733
1020.82,0.845731496,0.00070118
1025.65,0.849168678,0.000697699
1030.65,0.852607,0.000701175
1035.48,0.856045323,0.000697728
1040.48,0.859482505,0.000701144
1045.32,0.862920827,0.000697832
1050.32,0.866359149,0.000600149
1055.15,0.86807717,0.000558439
1060.15,0.871515492,0.000604537
1064.98,0.874953815,0.000605296
1069.98,0.876672976,0.000571043
1074.82,0.880110158,0.000601385
1079.82,0.88354848,0.000787992
1084.82,0.888704823,0.000719455
1094.65,0.892143145,0.000494666
1099.48,0.893862307,0.000425967
1104.48,0.897300629,0.000490893
1109.32,0.89901865,0.000545101
1114.32,0.902456972,0.000497354
1119.15,0.904176133,0.000545747
1124.15,0.907614455,0.000497617
1128.98,0.909332476,0.000546664
1133.98,0.912770799,0.000502109
1138.82,0.91448996,0.000497374
1143.82,0.919646303,0.000368407
1153.65,0.921365464,0.000342209
1158.48,0.924803786,0.00046009
1163.48,0.926522947,0.00066007
1168.32,0.931679291,0.000518074
1178.15,0.933398452,0.000304127
1183.15,0.938554795,0.000230731
1192.98,0.940273956,0.000152696
1197.98,0.941993117,0.000359341
1202.82,0.945431439,0.0004799
1207.82,0.9471506,0.000421924
1212.65,0.948868621,0.000342192
1217.65,1.001630223,0.000250872
